Vel_Km/h;Direcao;Rajada_Km/h;Temp_min;Temp_max;Descricao;Data
7.0;114;7.0;13;14;céu limpo;2025/03/15 06H00H00
8.0;123;9.0;12;14;céu limpo;2025/03/15 09H00H00
13.0;152;18.0;17;18;céu limpo;2025/03/15 12H00H00
14.0;154;14.0;25;25;céu limpo;2025/03/15 15H00H00
11.0;161;11.0;27;27;céu limpo;2025/03/15 18H00H00
20.0;121;26.0;25;25;céu limpo;2025/03/15 21H00H00
14.0;100;37.0;18;18;céu limpo;2025/03/16 00H00H00
12.0;74;30.0;16;16;céu limpo;2025/03/16 03H00H00
10.0;81;26.0;15;15;céu limpo;2025/03/16 06H00H00
9.0;85;20.0;15;15;céu limpo;2025/03/16 09H00H00
13.0;78;18.0;21;21;céu limpo;2025/03/16 12H00H00
11.0;101;10.0;27;27;céu pouco nublado;2025/03/16 15H00H00
7.0;128;9.0;30;30;nuvens dispersas;2025/03/16 18H00H00
17.0;99;23.0;27;27;nuvens dispersas;2025/03/16 21H00H00
20.0;81;41.0;21;21;nuvens dispersas;2025/03/17 00H00H00
17.0;71;43.0;18;18;céu pouco nublado;2025/03/17 03H00H00
16.0;68;39.0;17;17;céu pouco nublado;2025/03/17 06H00H00
10.0;72;26.0;16;16;céu limpo;2025/03/17 09H00H00
14.0;70;19.0;23;23;céu limpo;2025/03/17 12H00H00
11.0;122;9.0;29;29;céu limpo;2025/03/17 15H00H00
11.0;169;10.0;32;32;céu limpo;2025/03/17 18H00H00
8.0;146;11.0;30;30;céu limpo;2025/03/17 21H00H00
20.0;97;40.0;22;22;céu pouco nublado;2025/03/18 00H00H00
17.0;70;40.0;19;19;céu limpo;2025/03/18 03H00H00
17.0;54;40.0;18;18;céu limpo;2025/03/18 06H00H00
11.0;46;25.0;17;17;céu limpo;2025/03/18 09H00H00
8.0;42;11.0;25;25;céu limpo;2025/03/18 12H00H00
5.0;183;9.0;32;32;céu limpo;2025/03/18 15H00H00
14.0;201;16.0;33;33;céu limpo;2025/03/18 18H00H00
14.0;183;21.0;31;31;céu pouco nublado;2025/03/18 21H00H00
13.0;79;29.0;24;24;céu pouco nublado;2025/03/19 00H00H00
13.0;84;27.0;21;21;nuvens quebradas;2025/03/19 03H00H00
9.0;78;15.0;18;18;nuvens dispersas;2025/03/19 06H00H00
6.0;109;6.0;17;17;céu limpo;2025/03/19 09H00H00
16.0;137;19.0;22;22;céu limpo;2025/03/19 12H00H00
17.0;158;14.0;28;28;céu limpo;2025/03/19 15H00H00
17.0;167;14.0;31;31;céu limpo;2025/03/19 18H00H00
20.0;141;24.0;28;28;céu limpo;2025/03/19 21H00H00
20.0;107;42.0;19;19;céu limpo;2025/03/20 00H00H00
14.0;77;31.0;15;15;céu limpo;2025/03/20 03H00H00
